author_id,rating,helpfulness,total_feedback,total_negative_feedback,total_positive_feedback,Date,skin_tone,eye_color,skin_type,hair_color,product_id,product_name,brand_name,price_usd
1775975506,5,1,17,2,15,8/29/2017,fair,hazel,dry,auburn,P422003,Daily Reviving Concentrate,Kiehl's Since 1851,59
29426109588,5,1,14,2,12,2/4/2023,lightMedium,brown,combination,black,P473126,CLINICAL Discoloration Repair Serum,Paula's Choice,52
5505045669,5,1,2,0,2,12/5/2022,light,hazel,dry,blonde,P473126,CLINICAL Discoloration Repair Serum,Paula's Choice,52
24037363385,5,0,2,1,1,12/5/2022,fair,brown,dry,blonde,P473126,CLINICAL Discoloration Repair Serum,Paula's Choice,52
2180462543,5,1,3,0,3,12/4/2022,light,brown,normal,black,P473126,CLINICAL Discoloration Repair Serum,Paula's Choice,52
33483258599,5,0,1,1,0,12/4/2022,medium,brown,combination,black,P473126,CLINICAL Discoloration Repair Serum,Paula's Choice,52
5302164869,5,0,2,1,1,12/4/2022,light,blue,dry,blonde,P473126,CLINICAL Discoloration Repair Serum,Paula's Choice,52
36563043908,5,1,1,0,1,12/2/2022,light,brown,combination,black,P473126,CLINICAL Discoloration Repair Serum,Paula's Choice,52
5661316441,5,1,1,0,1,11/30/2022,light,brown,combination,black,P473126,CLINICAL Discoloration Repair Serum,Paula's Choice,52
34359644597,5,0,1,1,0,11/22/2022,fair,brown,combination,black,P473126,CLINICAL Discoloration Repair Serum,Paula's Choice,52
6044064007,1,0,20,10,10,9/9/2022,light,brown,dry,brown,P473126,CLINICAL Discoloration Repair Serum,Paula's Choice,52
27781696810,5,1,5,2,3,5/25/2022,mediumTan,brown,combination,black,P473126,CLINICAL Discoloration Repair Serum,Paula's Choice,52
33033686648,5,0,2,1,1,5/1/2022,medium,brown,oily,black,P473126,CLINICAL Discoloration Repair Serum,Paula's Choice,52
5480984358,2,0,22,12,10,4/14/2022,lightMedium,blue,oily,blonde,P473126,CLINICAL Discoloration Repair Serum,Paula's Choice,52
1315401411,5,1,11,1,10,4/3/2022,light,green,dry,auburn,P473126,CLINICAL Discoloration Repair Serum,Paula's Choice,52
5753402572,1,1,15,1,14,3/8/2022,mediumTan,brown,combination,brown,P473126,CLINICAL Discoloration Repair Serum,Paula's Choice,52
5353164069,2,1,8,2,6,1/12/2022,light,green,dry,brown,P473126,CLINICAL Discoloration Repair Serum,Paula's Choice,52
1098549354,4,1,20,2,18,1/9/2022,fair,brown,combination,black,P473126,CLINICAL Discoloration Repair Serum,Paula's Choice,52
6796019298,1,1,25,10,15,12/28/2021,light,green,dry,blonde,P473126,CLINICAL Discoloration Repair Serum,Paula's Choice,52
5696622289,5,1,34,1,33,12/19/2021,mediumTan,brown,normal,black,P473126,CLINICAL Discoloration Repair Serum,Paula's Choice,52
6179345972,5,1,27,0,27,11/15/2021,deep,brown,oily,black,P473126,CLINICAL Discoloration Repair Serum,Paula's Choice,52
32206725508,5,1,12,2,10,11/1/2021,fair,blue,oily,black,P473126,CLINICAL Discoloration Repair Serum,Paula's Choice,52
2253610288,5,1,9,0,9,10/22/2021,tan,brown,combination,auburn,P473126,CLINICAL Discoloration Repair Serum,Paula's Choice,52
22319125761,5,1,20,1,19,8/11/2021,deep,brown,combination,black,P473126,CLINICAL Discoloration Repair Serum,Paula's Choice,52
1795128485,5,1,17,4,13,8/3/2021,light,hazel,combination,brown,P473126,CLINICAL Discoloration Repair Serum,Paula's Choice,52
23594487430,5,1,16,1,15,8/2/2021,fairLight,blue,combination,brown,P473126,CLINICAL Discoloration Repair Serum,Paula's Choice,52
6203895619,4,1,15,1,14,8/2/2021,light,brown,combination,brown,P473126,CLINICAL Discoloration Repair Serum,Paula's Choice,52
6587057890,3,1,36,7,29,8/1/2021,fairLight,hazel,normal,red,P473126,CLINICAL Discoloration Repair Serum,Paula's Choice,52
9939193931,5,1,8,1,7,8/1/2021,light,brown,normal,brown,P473126,CLINICAL Discoloration Repair Serum,Paula's Choice,52
